# Region type : patch pressure_outlet
# Faces       : 1888
# Area        : 4.314365e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
178           	(-1.462405e-03 2.428272e-02 9.999210e-01)
179           	(-1.410925e-03 2.362620e-02 9.999374e-01)
180           	(-1.323781e-03 2.275213e-02 9.999474e-01)
181           	(-1.233732e-03 2.190436e-02 9.999517e-01)
182           	(-1.010933e-03 2.108006e-02 9.999494e-01)
183           	(-7.434429e-04 2.022758e-02 9.999409e-01)
184           	(-5.985594e-04 1.936854e-02 9.999259e-01)
185           	(-6.027653e-04 1.846910e-02 9.999145e-01)
186           	(-5.395194e-04 1.759919e-02 9.999035e-01)
187           	(-5.719233e-04 1.663677e-02 9.998953e-01)
188           	(-5.098027e-04 1.576549e-02 9.998925e-01)
189           	(-3.837560e-04 1.497804e-02 9.998924e-01)
190           	(-3.141767e-04 1.407071e-02 9.998936e-01)
191           	(-2.399609e-04 1.322270e-02 9.998971e-01)
192           	(-1.243177e-04 1.235595e-02 9.999020e-01)
193           	(-1.193882e-04 1.164441e-02 9.999260e-01)
194           	(7.164370e-05 1.077335e-02 9.999526e-01)
195           	(2.618141e-04 9.922050e-03 9.999792e-01)
196           	(4.575775e-04 9.026522e-03 9.999995e-01)
197           	(6.006098e-04 8.276007e-03 1.000013e+00)
198           	(6.641353e-04 7.527097e-03 1.000022e+00)
199           	(7.824206e-04 6.684740e-03 1.000025e+00)
200           	(7.716332e-04 5.548285e-03 1.000016e+00)
201           	(8.824176e-04 4.658185e-03 1.000004e+00)
202           	(8.854225e-04 3.864532e-03 9.999880e-01)
203           	(8.930258e-04 3.089366e-03 9.999701e-01)
204           	(9.330506e-04 2.310667e-03 9.999488e-01)
205           	(9.625175e-04 1.556702e-03 9.999292e-01)
206           	(9.297794e-04 7.535483e-04 9.999105e-01)
207           	(1.042793e-03 -1.229876e-04 9.998945e-01)
208           	(8.524640e-04 -8.719348e-04 9.998855e-01)
209           	(7.145424e-04 -1.368909e-03 9.998827e-01)
210           	(3.769412e-04 -2.087483e-03 9.998872e-01)
211           	(8.634046e-04 -2.683036e-03 9.998955e-01)
212           	(9.077568e-04 -3.323112e-03 9.999046e-01)
213           	(8.747687e-04 -3.950344e-03 9.999185e-01)
214           	(8.377111e-04 -4.590960e-03 9.999323e-01)
215           	(8.119907e-04 -5.234890e-03 9.999441e-01)
216           	(7.215229e-04 -5.873690e-03 9.999487e-01)
217           	(7.012207e-04 -6.444396e-03 9.999460e-01)
218           	(6.680780e-04 -6.999913e-03 9.999374e-01)
219           	(5.970357e-04 -7.560857e-03 9.999204e-01)
220           	(7.778707e-04 -8.269087e-03 9.999025e-01)
221           	(7.939358e-04 -8.735272e-03 9.998866e-01)
222           	(1.006862e-03 -9.402678e-03 9.998649e-01)
223           	(8.819022e-04 -9.787134e-03 9.998501e-01)
224           	(8.519006e-04 -1.002211e-02 9.998516e-01)
225           	(7.839922e-04 -1.046893e-02 9.998555e-01)
226           	(5.936502e-04 -1.096679e-02 9.998576e-01)
227           	(6.047556e-04 -1.144579e-02 9.998636e-01)
228           	(5.219628e-04 -1.183532e-02 9.998718e-01)
229           	(5.456799e-04 -1.224055e-02 9.998742e-01)
230           	(4.704914e-04 -1.258755e-02 9.998732e-01)
231           	(7.121772e-04 -1.293347e-02 9.998823e-01)
232           	(6.457410e-04 -1.345604e-02 9.999001e-01)
233           	(5.359808e-04 -1.390346e-02 9.999195e-01)
234           	(4.595498e-04 -1.410966e-02 9.999367e-01)
235           	(5.289767e-04 -1.441791e-02 9.999622e-01)
236           	(1.439191e-04 -1.465278e-02 9.999807e-01)
237           	(4.673604e-05 -1.493598e-02 9.999927e-01)
238           	(2.048342e-04 -1.534210e-02 9.999982e-01)
239           	(5.350470e-05 -1.560012e-02 1.000005e+00)
240           	(-9.327623e-05 -1.583432e-02 1.000005e+00)
241           	(-1.701846e-04 -1.600927e-02 9.999987e-01)
242           	(-1.681926e-04 -1.609155e-02 9.999898e-01)
243           	(-3.358009e-04 -1.630561e-02 9.999811e-01)
244           	(-1.767182e-04 -1.640071e-02 9.999721e-01)
245           	(-3.311450e-04 -1.657182e-02 9.999582e-01)
246           	(-4.851525e-04 -1.672644e-02 9.999427e-01)
247           	(-6.407065e-04 -1.686520e-02 9.999275e-01)
248           	(-6.797784e-04 -1.700981e-02 9.999151e-01)
249           	(-8.750107e-04 -1.714611e-02 9.999079e-01)
250           	(-9.412491e-04 -1.714414e-02 9.999027e-01)
251           	(-1.107653e-03 -1.720940e-02 9.999002e-01)
252           	(-1.417252e-03 -1.725288e-02 9.998988e-01)
253           	(-1.636158e-03 -1.732160e-02 9.998980e-01)
254           	(-1.653608e-03 -1.737995e-02 9.998963e-01)
255           	(-1.800772e-03 -1.738002e-02 9.998945e-01)
256           	(-1.902709e-03 -1.738752e-02 9.998907e-01)
257           	(-1.901685e-03 -1.739453e-02 9.998897e-01)
258           	(-2.140938e-03 -1.734241e-02 9.998922e-01)
259           	(-2.286878e-03 -1.732370e-02 9.998916e-01)
260           	(-2.495801e-03 -1.738121e-02 9.998905e-01)
261           	(-2.639453e-03 -1.734750e-02 9.998957e-01)
262           	(-2.860904e-03 -1.730531e-02 9.999000e-01)
263           	(-2.969807e-03 -1.727003e-02 9.999099e-01)
264           	(-3.147175e-03 -1.712850e-02 9.999223e-01)
265           	(-3.226841e-03 -1.705278e-02 9.999356e-01)
266           	(-3.356092e-03 -1.697669e-02 9.999517e-01)
267           	(-3.379653e-03 -1.709012e-02 9.999556e-01)
268           	(-3.701282e-03 -1.703195e-02 9.999495e-01)
269           	(-3.790510e-03 -1.693109e-02 9.999402e-01)
270           	(-3.893140e-03 -1.680964e-02 9.999251e-01)
271           	(-3.981173e-03 -1.672536e-02 9.999068e-01)
272           	(-4.086113e-03 -1.664007e-02 9.998862e-01)
273           	(-4.122670e-03 -1.673525e-02 9.998682e-01)
274           	(-4.231664e-03 -1.657436e-02 9.998586e-01)
275           	(-4.204091e-03 -1.636569e-02 9.998506e-01)
276           	(-4.433149e-03 -1.613816e-02 9.998489e-01)
277           	(-4.473654e-03 -1.596611e-02 9.998531e-01)
278           	(-4.698328e-03 -1.589517e-02 9.998590e-01)
279           	(-4.756705e-03 -1.572110e-02 9.998686e-01)
280           	(-4.774268e-03 -1.554715e-02 9.998822e-01)
281           	(-4.784341e-03 -1.534495e-02 9.998965e-01)
282           	(-4.817291e-03 -1.510002e-02 9.999084e-01)
283           	(-4.810131e-03 -1.487282e-02 9.999207e-01)
284           	(-4.831456e-03 -1.486284e-02 9.999258e-01)
285           	(-4.834085e-03 -1.462962e-02 9.999361e-01)
286           	(-4.813184e-03 -1.439606e-02 9.999463e-01)
287           	(-4.787595e-03 -1.413498e-02 9.999468e-01)
288           	(-4.705507e-03 -1.382449e-02 9.999408e-01)
289           	(-4.606098e-03 -1.352656e-02 9.999328e-01)
290           	(-4.328361e-03 -1.323840e-02 9.999233e-01)
291           	(-4.367639e-03 -1.293825e-02 9.999212e-01)
292           	(-4.388801e-03 -1.261430e-02 9.999156e-01)
293           	(-4.328922e-03 -1.229021e-02 9.999186e-01)
294           	(-4.282631e-03 -1.193449e-02 9.999192e-01)
295           	(-4.184783e-03 -1.158905e-02 9.999243e-01)
296           	(-4.226712e-03 -1.133186e-02 9.999298e-01)
297           	(-4.127881e-03 -1.093206e-02 9.999415e-01)
298           	(-4.061074e-03 -1.052847e-02 9.999522e-01)
299           	(-4.030078e-03 -1.023872e-02 9.999597e-01)
300           	(-3.999126e-03 -9.872436e-03 9.999642e-01)
301           	(-3.900853e-03 -9.487462e-03 9.999780e-01)
302           	(-3.785492e-03 -9.095934e-03 9.999842e-01)
303           	(-3.759724e-03 -8.645902e-03 9.999836e-01)
304           	(-3.665523e-03 -8.329269e-03 9.999826e-01)
305           	(-3.569857e-03 -7.888858e-03 9.999795e-01)
306           	(-3.468095e-03 -7.510917e-03 9.999748e-01)
307           	(-3.274645e-03 -7.084886e-03 9.999756e-01)
308           	(-3.127110e-03 -6.653489e-03 9.999755e-01)
309           	(-2.978132e-03 -6.215739e-03 9.999764e-01)
310           	(-2.885409e-03 -5.785647e-03 9.999742e-01)
311           	(-2.661700e-03 -5.056051e-03 9.999701e-01)
312           	(-2.504683e-03 -4.616835e-03 9.999727e-01)
313           	(-2.376384e-03 -4.206040e-03 9.999721e-01)
314           	(-2.063680e-03 -3.761617e-03 9.999699e-01)
315           	(-1.887956e-03 -3.316316e-03 9.999675e-01)
316           	(-1.673120e-03 -2.865565e-03 9.999657e-01)
317           	(-1.500575e-03 -2.424380e-03 9.999630e-01)
318           	(-1.322455e-03 -2.143652e-03 9.999584e-01)
319           	(-1.074093e-03 -1.773276e-03 9.999537e-01)
320           	(-9.237812e-04 -1.356967e-03 9.999503e-01)
321           	(-7.000250e-04 -8.596790e-04 9.999463e-01)
322           	(-5.153941e-04 -4.174857e-04 9.999433e-01)
323           	(-3.795008e-04 2.542461e-05 9.999408e-01)
324           	(-1.942698e-04 4.621502e-04 9.999436e-01)
325           	(6.575885e-05 8.022091e-04 9.999494e-01)
326           	(2.549357e-04 1.238233e-03 9.999584e-01)
327           	(4.356432e-04 1.665145e-03 9.999663e-01)
328           	(6.583145e-04 2.089778e-03 9.999741e-01)
329           	(8.560515e-04 2.352571e-03 9.999778e-01)
330           	(1.075050e-03 2.783739e-03 9.999792e-01)
331           	(1.216091e-03 3.254508e-03 9.999754e-01)
332           	(1.366928e-03 3.716145e-03 9.999739e-01)
333           	(1.566294e-03 4.052538e-03 9.999724e-01)
334           	(1.770542e-03 4.476382e-03 9.999703e-01)
335           	(1.849496e-03 4.895870e-03 9.999672e-01)
336           	(2.045590e-03 5.339725e-03 9.999678e-01)
337           	(2.202091e-03 5.738510e-03 9.999723e-01)
338           	(2.417719e-03 6.213883e-03 9.999745e-01)
339           	(2.536180e-03 6.686331e-03 9.999767e-01)
340           	(2.690792e-03 7.065951e-03 9.999773e-01)
341           	(2.815369e-03 7.603357e-03 9.999749e-01)
342           	(2.966552e-03 7.914481e-03 9.999712e-01)
343           	(3.077309e-03 8.250776e-03 9.999642e-01)
344           	(3.232863e-03 8.594811e-03 9.999553e-01)
345           	(3.199353e-03 8.983836e-03 9.999459e-01)
346           	(3.434989e-03 9.302560e-03 9.999366e-01)
347           	(3.492329e-03 9.729702e-03 9.999267e-01)
348           	(3.623133e-03 1.002448e-02 9.999202e-01)
349           	(3.765914e-03 1.033307e-02 9.999143e-01)
350           	(3.957346e-03 1.063055e-02 9.999099e-01)
351           	(4.067146e-03 1.088781e-02 9.999067e-01)
352           	(4.199734e-03 1.120959e-02 9.999082e-01)
353           	(4.364797e-03 1.152956e-02 9.999098e-01)
354           	(4.407269e-03 1.178334e-02 9.999129e-01)
355           	(4.543762e-03 1.202084e-02 9.999165e-01)
356           	(4.679259e-03 1.228035e-02 9.999194e-01)
357           	(4.843009e-03 1.255210e-02 9.999255e-01)
358           	(4.916029e-03 1.276700e-02 9.999307e-01)
359           	(5.014102e-03 1.299412e-02 9.999408e-01)
360           	(5.064037e-03 1.318250e-02 9.999461e-01)
361           	(5.118222e-03 1.327840e-02 9.999491e-01)
362           	(5.207275e-03 1.349351e-02 9.999534e-01)
363           	(5.384785e-03 1.363236e-02 9.999535e-01)
364           	(5.377429e-03 1.383194e-02 9.999503e-01)
365           	(5.477713e-03 1.402051e-02 9.999469e-01)
366           	(5.450783e-03 1.406249e-02 9.999457e-01)
367           	(5.526370e-03 1.424956e-02 9.999412e-01)
368           	(5.616588e-03 1.441660e-02 9.999368e-01)
369           	(5.675113e-03 1.466281e-02 9.999315e-01)
370           	(5.689905e-03 1.475699e-02 9.999311e-01)
371           	(5.751014e-03 1.492678e-02 9.999346e-01)
372           	(5.808323e-03 1.509069e-02 9.999379e-01)
373           	(5.863298e-03 1.524845e-02 9.999389e-01)
374           	(5.926366e-03 1.543435e-02 9.999391e-01)
375           	(5.976949e-03 1.558370e-02 9.999396e-01)
376           	(5.975996e-03 1.549492e-02 9.999408e-01)
377           	(6.016333e-03 1.562960e-02 9.999460e-01)
378           	(6.051383e-03 1.576860e-02 9.999493e-01)
379           	(6.078887e-03 1.594384e-02 9.999516e-01)
380           	(6.018023e-03 1.607451e-02 9.999522e-01)
381           	(6.070943e-03 1.613708e-02 9.999555e-01)
382           	(6.067804e-03 1.639052e-02 9.999565e-01)
383           	(5.960122e-03 1.647190e-02 9.999566e-01)
384           	(5.986242e-03 1.671324e-02 9.999585e-01)
385           	(6.049315e-03 1.674839e-02 9.999599e-01)
386           	(6.164623e-03 1.686715e-02 9.999592e-01)
387           	(6.145384e-03 1.689755e-02 9.999572e-01)
388           	(6.220182e-03 1.693467e-02 9.999561e-01)
389           	(6.246433e-03 1.686924e-02 9.999536e-01)
390           	(6.354292e-03 1.698005e-02 9.999519e-01)
391           	(6.342819e-03 1.706261e-02 9.999517e-01)
392           	(6.412198e-03 1.722065e-02 9.999528e-01)
393           	(6.487059e-03 1.737362e-02 9.999542e-01)
394           	(6.585176e-03 1.740399e-02 9.999530e-01)
395           	(6.610117e-03 1.748468e-02 9.999513e-01)
396           	(6.656225e-03 1.756815e-02 9.999493e-01)
397           	(6.695126e-03 1.754534e-02 9.999459e-01)
398           	(6.704198e-03 1.762869e-02 9.999432e-01)
399           	(6.697362e-03 1.770783e-02 9.999402e-01)
400           	(6.606512e-03 1.772307e-02 9.999380e-01)
401           	(6.625710e-03 1.790912e-02 9.999371e-01)
402           	(6.658769e-03 1.799127e-02 9.999370e-01)
403           	(6.672413e-03 1.794960e-02 9.999389e-01)
404           	(6.677687e-03 1.795474e-02 9.999507e-01)
405           	(6.700660e-03 1.798739e-02 9.999652e-01)
406           	(6.770325e-03 1.793851e-02 9.999808e-01)
407           	(6.794161e-03 1.801908e-02 9.999921e-01)
408           	(6.822564e-03 1.805155e-02 1.000003e+00)
409           	(6.866159e-03 1.812603e-02 1.000011e+00)
410           	(6.888014e-03 1.828264e-02 1.000015e+00)
411           	(6.996026e-03 1.847051e-02 1.000016e+00)
412           	(7.089420e-03 1.862333e-02 1.000017e+00)
413           	(7.138696e-03 1.880792e-02 1.000012e+00)
414           	(7.197120e-03 1.888184e-02 1.000010e+00)
415           	(7.247182e-03 1.901210e-02 1.000007e+00)
416           	(7.315658e-03 1.910528e-02 1.000007e+00)
417           	(7.387892e-03 1.918720e-02 1.000005e+00)
418           	(7.481557e-03 1.922777e-02 1.000002e+00)
419           	(7.558260e-03 1.930792e-02 9.999986e-01)
420           	(7.628283e-03 1.939088e-02 9.999956e-01)
421           	(7.579204e-03 1.954291e-02 9.999928e-01)
422           	(7.615310e-03 1.963660e-02 9.999945e-01)
423           	(7.733444e-03 1.981083e-02 9.999980e-01)
424           	(7.819285e-03 1.990103e-02 1.000000e+00)
425           	(7.909609e-03 1.999301e-02 1.000002e+00)
426           	(7.981812e-03 2.008171e-02 1.000006e+00)
427           	(8.092939e-03 2.017461e-02 1.000010e+00)
428           	(8.254944e-03 2.033607e-02 1.000016e+00)
429           	(8.374308e-03 2.047246e-02 1.000032e+00)
430           	(8.498694e-03 2.057996e-02 1.000043e+00)
431           	(8.564637e-03 2.069765e-02 1.000053e+00)
432           	(8.707053e-03 2.091614e-02 1.000057e+00)
433           	(8.872815e-03 2.101607e-02 1.000054e+00)
434           	(8.951061e-03 2.114130e-02 1.000046e+00)
435           	(8.840855e-03 2.115546e-02 1.000036e+00)
436           	(8.918473e-03 2.126212e-02 1.000032e+00)
437           	(9.047321e-03 2.138214e-02 1.000029e+00)
438           	(9.195652e-03 2.156349e-02 1.000027e+00)
439           	(9.327288e-03 2.166730e-02 1.000028e+00)
440           	(9.462548e-03 2.179153e-02 1.000030e+00)
441           	(9.590939e-03 2.198335e-02 1.000031e+00)
442           	(9.613216e-03 2.209568e-02 1.000031e+00)
443           	(9.809983e-03 2.218601e-02 1.000032e+00)
444           	(9.953311e-03 2.230770e-02 1.000035e+00)
445           	(1.009512e-02 2.244003e-02 1.000038e+00)
446           	(1.024446e-02 2.254707e-02 1.000040e+00)
447           	(1.043165e-02 2.262456e-02 1.000042e+00)
448           	(1.058298e-02 2.274264e-02 1.000042e+00)
449           	(1.073492e-02 2.285906e-02 1.000041e+00)
450           	(1.072609e-02 2.294187e-02 1.000037e+00)
451           	(1.089819e-02 2.308712e-02 1.000035e+00)
452           	(1.105838e-02 2.321533e-02 1.000033e+00)
453           	(1.118479e-02 2.325469e-02 1.000032e+00)
454           	(1.130584e-02 2.336164e-02 1.000027e+00)
455           	(1.154284e-02 2.342753e-02 1.000026e+00)
456           	(1.168432e-02 2.352611e-02 1.000024e+00)
457           	(1.177904e-02 2.370669e-02 1.000028e+00)
458           	(1.196313e-02 2.376550e-02 1.000030e+00)
459           	(1.202983e-02 2.380783e-02 1.000034e+00)
460           	(1.217777e-02 2.396714e-02 1.000040e+00)
461           	(1.225068e-02 2.404538e-02 1.000047e+00)
462           	(1.240470e-02 2.417374e-02 1.000052e+00)
