# Region type : patch pressure_outlet
# Faces       : 1888
# Area        : 4.314365e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
149           	(-1.316198e-02 7.568421e-02 1.000205e+00)
150           	(-1.249038e-02 7.557963e-02 1.000191e+00)
151           	(-1.178121e-02 7.559573e-02 1.000208e+00)
152           	(-1.091407e-02 7.552292e-02 1.000283e+00)
153           	(-1.002207e-02 7.547315e-02 1.000315e+00)
154           	(-9.177773e-03 7.560937e-02 1.000340e+00)
155           	(-8.078144e-03 7.568881e-02 1.000384e+00)
156           	(-7.206860e-03 7.588880e-02 1.000304e+00)
157           	(-6.323947e-03 7.609892e-02 1.000255e+00)
158           	(-5.415932e-03 7.640649e-02 1.000275e+00)
159           	(-4.772823e-03 7.654358e-02 1.000326e+00)
160           	(-3.997199e-03 7.671270e-02 1.000382e+00)
161           	(-3.468645e-03 7.701256e-02 1.000416e+00)
162           	(-2.850888e-03 7.727655e-02 1.000442e+00)
163           	(-2.205310e-03 7.746232e-02 1.000406e+00)
164           	(-1.706915e-03 7.753634e-02 1.000425e+00)
165           	(-1.546360e-03 7.772646e-02 1.000556e+00)
166           	(-1.039405e-03 7.794690e-02 1.000591e+00)
167           	(-7.128442e-04 7.801490e-02 1.000565e+00)
168           	(-7.361443e-04 7.812298e-02 1.000461e+00)
169           	(-1.852799e-04 7.811649e-02 1.000456e+00)
170           	(1.884230e-04 7.794841e-02 1.000432e+00)
171           	(4.534388e-04 7.765876e-02 1.000346e+00)
172           	(5.357028e-04 7.742677e-02 1.000283e+00)
173           	(5.679411e-04 7.717305e-02 1.000270e+00)
174           	(7.079687e-04 7.686391e-02 1.000216e+00)
175           	(9.243961e-04 7.662735e-02 1.000223e+00)
176           	(9.592722e-04 7.630813e-02 1.000169e+00)
177           	(1.246863e-03 7.595805e-02 1.000113e+00)
178           	(1.259409e-03 7.565018e-02 1.000068e+00)
179           	(1.427907e-03 7.531257e-02 1.000073e+00)
180           	(1.388786e-03 7.499194e-02 1.000107e+00)
181           	(1.296392e-03 7.471229e-02 1.000104e+00)
182           	(1.351239e-03 7.425821e-02 1.000104e+00)
183           	(1.490620e-03 7.373162e-02 1.000108e+00)
184           	(1.236218e-03 7.318355e-02 1.000108e+00)
185           	(1.131759e-03 7.280442e-02 1.000084e+00)
186           	(9.716663e-04 7.247956e-02 1.000112e+00)
187           	(9.023121e-04 7.206928e-02 1.000134e+00)
188           	(7.609117e-04 7.168468e-02 1.000154e+00)
189           	(6.308541e-04 7.134340e-02 1.000200e+00)
190           	(5.108149e-04 7.100491e-02 1.000250e+00)
191           	(5.416564e-04 7.076992e-02 1.000248e+00)
192           	(4.155810e-04 7.047054e-02 1.000257e+00)
193           	(2.610829e-04 7.007621e-02 1.000223e+00)
194           	(1.563317e-04 6.969490e-02 1.000211e+00)
195           	(-3.926612e-05 6.936271e-02 1.000176e+00)
196           	(-1.686889e-04 6.903609e-02 1.000196e+00)
197           	(-3.229546e-04 6.883922e-02 1.000197e+00)
198           	(-4.816333e-04 6.858466e-02 1.000221e+00)
199           	(-6.776971e-04 6.830866e-02 1.000206e+00)
200           	(-8.010739e-04 6.802275e-02 1.000218e+00)
201           	(-9.904810e-04 6.776861e-02 1.000211e+00)
202           	(-1.000346e-03 6.755398e-02 1.000225e+00)
203           	(-1.137957e-03 6.745293e-02 1.000210e+00)
204           	(-1.243205e-03 6.732324e-02 1.000203e+00)
205           	(-1.370266e-03 6.717697e-02 1.000190e+00)
206           	(-1.552069e-03 6.701084e-02 1.000215e+00)
207           	(-1.681599e-03 6.680115e-02 1.000213e+00)
208           	(-1.702484e-03 6.669364e-02 1.000237e+00)
209           	(-1.901101e-03 6.648709e-02 1.000227e+00)
210           	(-1.998377e-03 6.633221e-02 1.000222e+00)
211           	(-2.154564e-03 6.613595e-02 1.000189e+00)
212           	(-2.310764e-03 6.593934e-02 1.000173e+00)
213           	(-2.342692e-03 6.589712e-02 1.000154e+00)
214           	(-2.490366e-03 6.566618e-02 1.000155e+00)
215           	(-2.538017e-03 6.557137e-02 1.000141e+00)
216           	(-2.613076e-03 6.535126e-02 1.000141e+00)
217           	(-2.681006e-03 6.525292e-02 1.000148e+00)
218           	(-2.756602e-03 6.510551e-02 1.000167e+00)
219           	(-2.912308e-03 6.488451e-02 1.000172e+00)
220           	(-2.915317e-03 6.477148e-02 1.000188e+00)
221           	(-3.080270e-03 6.454409e-02 1.000189e+00)
222           	(-3.024195e-03 6.430346e-02 1.000206e+00)
223           	(-3.119568e-03 6.408914e-02 1.000204e+00)
224           	(-3.326952e-03 6.386034e-02 1.000205e+00)
225           	(-3.375621e-03 6.373884e-02 1.000164e+00)
226           	(-3.500372e-03 6.357213e-02 1.000152e+00)
227           	(-3.665239e-03 6.325141e-02 1.000135e+00)
228           	(-3.751613e-03 6.313593e-02 1.000134e+00)
229           	(-4.046421e-03 6.287560e-02 1.000138e+00)
230           	(-4.137446e-03 6.280196e-02 1.000160e+00)
231           	(-4.378807e-03 6.262704e-02 1.000153e+00)
232           	(-4.633319e-03 6.246895e-02 1.000149e+00)
233           	(-4.790449e-03 6.236119e-02 1.000131e+00)
234           	(-5.079102e-03 6.246919e-02 1.000125e+00)
235           	(-5.109955e-03 6.245662e-02 1.000166e+00)
236           	(-5.216949e-03 6.232261e-02 1.000257e+00)
237           	(-5.501421e-03 6.207367e-02 1.000237e+00)
238           	(-5.614688e-03 6.198203e-02 1.000222e+00)
239           	(-6.040392e-03 6.192660e-02 1.000229e+00)
240           	(-6.209421e-03 6.188975e-02 1.000429e+00)
241           	(-6.378812e-03 6.184840e-02 1.000312e+00)
242           	(-6.691887e-03 6.172299e-02 1.000134e+00)
243           	(-6.833675e-03 6.172018e-02 1.000005e+00)
244           	(-7.011216e-03 6.154571e-02 9.999488e-01)
245           	(-7.063566e-03 6.149860e-02 9.999479e-01)
246           	(-7.009351e-03 6.148104e-02 9.999958e-01)
247           	(-7.218801e-03 6.137755e-02 1.000082e+00)
