# Region type : patch pressure_outlet
# Faces       : 6382
# Area        : 3.066803e-04
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
163           	(-1.780804e-01 -1.433625e-02 4.281848e-02)
164           	(-1.777626e-01 -1.398276e-02 7.558735e-02)
165           	(-1.712442e-01 -1.435512e-02 8.467654e-02)
166           	(-1.691648e-01 -1.364854e-02 7.058867e-02)
167           	(-1.645846e-01 -1.410204e-02 7.736248e-02)
168           	(-1.666538e-01 -1.585023e-02 7.972594e-02)
169           	(-1.596534e-01 -1.810334e-02 8.127325e-02)
170           	(-1.614909e-01 -1.921472e-02 1.016124e-01)
171           	(-1.722791e-01 -2.105506e-02 9.610404e-02)
172           	(-1.760395e-01 -2.335483e-02 1.173864e-01)
173           	(-1.874325e-01 -2.395117e-02 9.826169e-02)
174           	(-1.802739e-01 -2.414651e-02 1.271700e-01)
175           	(-1.796351e-01 -2.306301e-02 1.262546e-01)
176           	(-1.686785e-01 -2.113387e-02 1.501561e-01)
177           	(-1.592808e-01 -1.864939e-02 1.427093e-01)
178           	(-1.578717e-01 -1.632703e-02 1.588161e-01)
179           	(-1.612416e-01 -1.513980e-02 1.542257e-01)
180           	(-1.586970e-01 -1.395304e-02 1.599700e-01)
181           	(-1.608914e-01 -1.285680e-02 1.618417e-01)
182           	(-1.596440e-01 -1.198899e-02 1.673846e-01)
183           	(-1.611804e-01 -1.137468e-02 1.782156e-01)
184           	(-1.680172e-01 -1.078971e-02 1.924212e-01)
185           	(-1.657564e-01 -1.014822e-02 1.909393e-01)
186           	(-1.664106e-01 -9.783267e-03 1.960989e-01)
187           	(-1.666392e-01 -9.933592e-03 2.084277e-01)
188           	(-1.585641e-01 -1.135642e-02 2.088068e-01)
189           	(-1.668756e-01 -1.282053e-02 2.099874e-01)
190           	(-1.608545e-01 -1.378288e-02 2.156562e-01)
191           	(-1.577054e-01 -1.463562e-02 2.200084e-01)
192           	(-1.547312e-01 -1.536726e-02 2.240058e-01)
193           	(-1.594385e-01 -1.604236e-02 2.248734e-01)
194           	(-1.601791e-01 -1.747371e-02 2.127279e-01)
195           	(-1.580467e-01 -1.900914e-02 2.117736e-01)
196           	(-1.500999e-01 -2.035159e-02 2.100068e-01)
197           	(-1.426630e-01 -2.024726e-02 2.078610e-01)
198           	(-1.495506e-01 -1.944694e-02 1.916560e-01)
199           	(-1.443426e-01 -1.798801e-02 1.992099e-01)
200           	(-1.412320e-01 -1.683695e-02 1.953126e-01)
201           	(-1.381335e-01 -1.682183e-02 2.054975e-01)
202           	(-1.357212e-01 -1.742501e-02 1.952848e-01)
203           	(-1.276484e-01 -1.735508e-02 1.914387e-01)
204           	(-1.293977e-01 -1.666185e-02 1.908934e-01)
205           	(-1.158053e-01 -1.696118e-02 1.986076e-01)
206           	(-9.565876e-02 -1.775306e-02 2.043562e-01)
207           	(-8.428840e-02 -1.962674e-02 1.978248e-01)
208           	(-9.034298e-02 -2.151442e-02 1.958851e-01)
209           	(-8.668855e-02 -2.315386e-02 2.031662e-01)
210           	(-7.835981e-02 -2.428821e-02 2.002585e-01)
211           	(-7.550630e-02 -2.501254e-02 2.055939e-01)
212           	(-5.721024e-02 -2.536369e-02 2.033269e-01)
213           	(-5.633038e-02 -2.529639e-02 2.193374e-01)
214           	(-4.712637e-02 -2.483001e-02 2.176374e-01)
215           	(-5.011296e-02 -2.435990e-02 2.070699e-01)
216           	(-5.168848e-02 -2.357608e-02 2.079394e-01)
217           	(-5.185101e-02 -2.289573e-02 1.858412e-01)
218           	(-3.980635e-02 -2.253332e-02 1.808298e-01)
219           	(-4.550240e-02 -2.312191e-02 1.784970e-01)
220           	(-4.230109e-02 -2.331106e-02 1.734418e-01)
221           	(-4.201970e-02 -2.342172e-02 1.624557e-01)
222           	(-2.656613e-02 -2.364641e-02 1.568356e-01)
223           	(-1.393109e-02 -2.418684e-02 1.544565e-01)
224           	(-1.740077e-02 -2.424028e-02 1.628961e-01)
225           	(-1.279214e-02 -2.495029e-02 1.590150e-01)
226           	(-1.163916e-02 -2.665926e-02 1.577728e-01)
227           	(-1.354258e-02 -2.708076e-02 1.458524e-01)
228           	(-7.807436e-03 -2.613096e-02 1.414629e-01)
229           	(-2.490088e-03 -2.456383e-02 1.404900e-01)
230           	(3.623632e-03 -2.305142e-02 1.435410e-01)
231           	(1.686285e-02 -2.181941e-02 1.354828e-01)
232           	(2.536828e-02 -2.137967e-02 1.311663e-01)
233           	(3.144817e-02 -2.192516e-02 1.257242e-01)
234           	(2.805420e-02 -2.285167e-02 1.313115e-01)
235           	(3.637739e-02 -2.422332e-02 1.303634e-01)
236           	(3.971942e-02 -2.568923e-02 1.258412e-01)
237           	(4.459581e-02 -2.677018e-02 1.277489e-01)
238           	(5.453699e-02 -2.711843e-02 1.145671e-01)
239           	(6.353954e-02 -2.627469e-02 1.175220e-01)
240           	(5.644320e-02 -2.457584e-02 1.095199e-01)
241           	(5.432610e-02 -2.191614e-02 1.105323e-01)
242           	(5.796866e-02 -1.961062e-02 1.057000e-01)
243           	(6.158885e-02 -1.670416e-02 1.089315e-01)
244           	(6.457032e-02 -1.450650e-02 9.314541e-02)
245           	(7.358116e-02 -1.337531e-02 8.660408e-02)
246           	(7.059755e-02 -1.295308e-02 9.017511e-02)
247           	(7.755013e-02 -1.340115e-02 8.656324e-02)
248           	(7.396220e-02 -1.504096e-02 8.742642e-02)
249           	(8.650270e-02 -1.724551e-02 9.341546e-02)
250           	(8.226726e-02 -1.994945e-02 9.070480e-02)
251           	(8.768109e-02 -2.215480e-02 7.764992e-02)
252           	(9.838153e-02 -2.384065e-02 1.028567e-01)
253           	(9.761286e-02 -2.476404e-02 9.133218e-02)
254           	(9.729304e-02 -2.558141e-02 1.000393e-01)
255           	(1.082717e-01 -2.347482e-02 9.958810e-02)
256           	(1.144087e-01 -2.044734e-02 9.169460e-02)
257           	(1.149843e-01 -1.761981e-02 9.514055e-02)
258           	(1.213090e-01 -1.547071e-02 9.541015e-02)
259           	(1.272932e-01 -1.404644e-02 1.071975e-01)
260           	(1.322582e-01 -1.384334e-02 1.033864e-01)
261           	(1.363729e-01 -1.475562e-02 9.529687e-02)
262           	(1.385852e-01 -1.626129e-02 9.303124e-02)
263           	(1.390149e-01 -1.792984e-02 9.371842e-02)
264           	(1.513175e-01 -1.967157e-02 9.682488e-02)
265           	(1.483407e-01 -2.105398e-02 9.693091e-02)
266           	(1.510671e-01 -2.250905e-02 9.607845e-02)
267           	(1.520298e-01 -2.350255e-02 1.025656e-01)
268           	(1.530641e-01 -2.411796e-02 1.161272e-01)
269           	(1.645248e-01 -2.405261e-02 1.294037e-01)
270           	(1.679761e-01 -2.354765e-02 1.382524e-01)
271           	(1.724562e-01 -2.312578e-02 1.574038e-01)
272           	(1.795246e-01 -2.238056e-02 1.627532e-01)
273           	(1.776375e-01 -2.185814e-02 1.615702e-01)
274           	(1.817648e-01 -2.150878e-02 1.627048e-01)
275           	(1.845600e-01 -2.114857e-02 1.687157e-01)
276           	(1.844732e-01 -2.129079e-02 1.754838e-01)
277           	(1.836165e-01 -2.156461e-02 1.753646e-01)
278           	(1.812100e-01 -2.316470e-02 1.759939e-01)
279           	(1.848761e-01 -2.300598e-02 1.825298e-01)
280           	(1.811547e-01 -2.264448e-02 1.871436e-01)
281           	(1.802459e-01 -2.176636e-02 1.805234e-01)
282           	(1.772787e-01 -2.062324e-02 1.834028e-01)
283           	(1.771268e-01 -1.881298e-02 1.851883e-01)
284           	(1.779303e-01 -1.671936e-02 2.026023e-01)
285           	(1.823670e-01 -1.479365e-02 2.043169e-01)
286           	(1.842760e-01 -1.313960e-02 2.112497e-01)
287           	(1.843706e-01 -1.209624e-02 2.149334e-01)
288           	(1.865641e-01 -1.243681e-02 2.187184e-01)
289           	(1.845528e-01 -1.266584e-02 2.175017e-01)
290           	(1.865279e-01 -1.309081e-02 2.209258e-01)
291           	(1.878240e-01 -1.375251e-02 2.118419e-01)
292           	(1.908989e-01 -1.493339e-02 2.278537e-01)
293           	(1.933616e-01 -1.596458e-02 2.339399e-01)
294           	(1.974025e-01 -1.662563e-02 2.328943e-01)
295           	(1.978398e-01 -1.737660e-02 2.317121e-01)
296           	(1.982669e-01 -1.860456e-02 2.316673e-01)
297           	(1.991586e-01 -1.997348e-02 2.340138e-01)
298           	(2.004491e-01 -2.122422e-02 2.389211e-01)
299           	(2.007958e-01 -2.218247e-02 2.531513e-01)
300           	(2.024470e-01 -2.257736e-02 2.759895e-01)
301           	(2.059774e-01 -2.299275e-02 2.819367e-01)
302           	(2.045976e-01 -2.320127e-02 2.770405e-01)
303           	(2.050843e-01 -2.317054e-02 2.858340e-01)
304           	(2.040596e-01 -2.348376e-02 2.857559e-01)
305           	(2.125927e-01 -2.283049e-02 2.834634e-01)
306           	(2.087046e-01 -2.172848e-02 2.864517e-01)
307           	(2.121962e-01 -2.027131e-02 2.875412e-01)
308           	(2.141361e-01 -1.929619e-02 3.034434e-01)
309           	(2.119766e-01 -1.845642e-02 2.951149e-01)
310           	(2.143442e-01 -1.734265e-02 3.100828e-01)
311           	(2.213235e-01 -1.589748e-02 3.007585e-01)
312           	(2.218461e-01 -1.461704e-02 2.996500e-01)
313           	(2.276650e-01 -1.378353e-02 3.106101e-01)
314           	(2.309839e-01 -1.404536e-02 3.023542e-01)
315           	(2.316319e-01 -1.446396e-02 3.162390e-01)
316           	(2.335115e-01 -1.509337e-02 3.369155e-01)
317           	(2.290271e-01 -1.589734e-02 3.380544e-01)
318           	(2.304303e-01 -1.702968e-02 3.461276e-01)
319           	(2.330487e-01 -1.816867e-02 3.544497e-01)
320           	(2.348234e-01 -1.903747e-02 3.569195e-01)
321           	(2.362406e-01 -1.935146e-02 3.592306e-01)
322           	(2.354095e-01 -1.914703e-02 3.672415e-01)
323           	(2.333668e-01 -1.877846e-02 3.795424e-01)
324           	(2.368846e-01 -1.837910e-02 3.892169e-01)
325           	(2.388278e-01 -1.834410e-02 3.951822e-01)
326           	(2.412641e-01 -1.861312e-02 4.027923e-01)
327           	(2.418626e-01 -1.850814e-02 4.148080e-01)
328           	(2.499629e-01 -1.815213e-02 4.062102e-01)
329           	(2.488224e-01 -1.762863e-02 4.225684e-01)
330           	(2.502367e-01 -1.710011e-02 4.206480e-01)
331           	(2.525700e-01 -1.676421e-02 4.315512e-01)
332           	(2.707958e-01 -1.621133e-02 4.184905e-01)
333           	(2.739228e-01 -1.530765e-02 4.202464e-01)
334           	(2.729436e-01 -1.457744e-02 4.328140e-01)
335           	(2.808761e-01 -1.410160e-02 4.246964e-01)
336           	(2.787201e-01 -1.393682e-02 4.215487e-01)
337           	(2.765421e-01 -1.395755e-02 4.319579e-01)
338           	(2.744421e-01 -1.464277e-02 4.357300e-01)
339           	(2.708611e-01 -1.605527e-02 4.434721e-01)
340           	(2.743852e-01 -1.742979e-02 4.468272e-01)
341           	(2.755235e-01 -1.855028e-02 4.475660e-01)
342           	(2.735352e-01 -1.898208e-02 4.495029e-01)
343           	(2.721464e-01 -1.874702e-02 4.525098e-01)
344           	(2.705411e-01 -1.799230e-02 4.647555e-01)
345           	(2.700809e-01 -1.685581e-02 4.757505e-01)
346           	(2.670395e-01 -1.560391e-02 4.829880e-01)
347           	(2.677462e-01 -1.448882e-02 4.809484e-01)
348           	(2.616668e-01 -1.364026e-02 4.918350e-01)
349           	(2.594005e-01 -1.285375e-02 5.032366e-01)
350           	(2.563700e-01 -1.221849e-02 5.177069e-01)
351           	(2.526307e-01 -1.179418e-02 5.329211e-01)
352           	(2.517720e-01 -1.210054e-02 5.353869e-01)
353           	(2.520497e-01 -1.265720e-02 5.380014e-01)
354           	(2.542271e-01 -1.417932e-02 5.306880e-01)
355           	(2.495965e-01 -1.426055e-02 5.311023e-01)
356           	(2.629461e-01 -1.349887e-02 5.312427e-01)
357           	(2.599599e-01 -1.244264e-02 5.410182e-01)
358           	(2.654698e-01 -1.159084e-02 5.339384e-01)
359           	(2.670668e-01 -1.083677e-02 5.259067e-01)
360           	(2.621404e-01 -1.016066e-02 5.393295e-01)
361           	(2.614125e-01 -9.632006e-03 5.537672e-01)
362           	(2.624322e-01 -9.155558e-03 5.653429e-01)
363           	(2.628520e-01 -8.797945e-03 5.707163e-01)
364           	(2.552248e-01 -8.660530e-03 5.865424e-01)
365           	(2.480413e-01 -8.765721e-03 5.867743e-01)
366           	(2.481485e-01 -9.103395e-03 5.852273e-01)
367           	(2.471244e-01 -9.594163e-03 5.902019e-01)
368           	(2.469261e-01 -9.912381e-03 5.960649e-01)
